,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G02740,AT3G02740,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000138572179158853,0.00042074296031468703,-0.153157349272886,3.16341309667396,238,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT4G15420,AT4G15420,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.0005571617074668731,0.000416394490928684,-0.153157349272886,3.16341309667396,239,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT3G15880,WSIP2,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00014956210181393302,0.000421289238839305,-0.153157349272886,3.16341309667396,240,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT3G07990,SCPL27,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,6.43129612631488e-05,0.000431367331064879,-0.153157349272886,3.16341309667396,241,3,-0.6864765674824521,0.0,Ultra peripheral,Elongation_Xylem
AT4G28650,MIK1,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00191541986346686,0.000415580448924536,-0.153157349272886,3.16341309667396,242,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT5G40970,AT5G40970,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.0007470140539412401,0.00041646519411147996,-0.153157349272886,3.16341309667396,243,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT5G06620,ATXR4,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000181599386002335,0.00041950311630253797,-0.153157349272886,3.16341309667396,244,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT5G49160,DMT1,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,4.37609077050475e-05,0.000435445101378718,-0.153157349272886,3.16341309667396,245,3,-0.6864765674824521,0.0,Ultra peripheral,Elongation_Xylem
AT5G47810,PFK2,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000496715535790456,0.000416418003110479,-0.153157349272886,3.16341309667396,246,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT4G39900,AT4G39900,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.00040538634304175097,0.00041676001025483,-0.153157349272886,3.16341309667396,247,3,-0.6864765674824521,0.0,Ultra peripheral,Elongation_Xylem
