,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT5G28770,BZIP63,5,0,5,0.0,0.0,0.00360750360750361,0.0,0.00360750360750361,0,1.25596466509991e-06,0.00470280897452224,0.00048705647233209697,-0.143316559785017,3.08414736705913,474,0,-0.49269557195658,0.48,Peripheral,Maturation_Pericycle
AT1G31140,AGL63,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.209396824696029e-07,0.00276618853376277,0.00048705647233209697,-0.143316559785017,3.08414736705913,475,1,-0.896103763841427,0.0,Ultra peripheral,Maturation_Pericycle
AT4G34990,MYB32,14,0,14,0.021978021978022,0.024226146880032003,0.0101010101010101,0.0,0.0101010101010101,0,1.25816585302784e-06,0.0114798437150938,0.00048705647233209697,-0.143316559785017,3.08414736705913,476,1,-0.543518887010908,0.5714285714285711,Peripheral,Maturation_Pericycle
AT1G03040,AT1G03040,8,2,6,0.14285714285714302,0.141710304483117,0.00577200577200577,0.00144300144300144,0.00432900432900433,109,5.224496350019061e-07,0.004548077563538411,0.00050052110623519,-0.143316559785017,3.08414736705913,477,0,-0.112273157923465,0.0,Ultra peripheral,Maturation_Pericycle
AT3G16857,ARR1,6,0,6,0.0,0.0,0.00432900432900433,0.0,0.00432900432900433,0,1.2559586182737699e-06,0.0071588525936515,0.00048705647233209697,-0.143316559785017,3.08414736705913,478,1,-0.7785754715645871,0.444444444444444,Peripheral,Maturation_Pericycle
AT1G01380,ETC1,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563556686974e-07,0.00154942074778351,0.00048705647233209697,-0.143316559785017,3.08414736705913,479,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT2G22630,AGL17,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563556697951e-07,0.0015333719455544802,0.00048705647233209697,-0.143316559785017,3.08414736705913,480,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT4G00730,ANL2,3,0,3,0.0,0.0,0.00216450216450216,0.0,0.00216450216450216,0,5.21316352159385e-07,0.00446241047606638,0.00048705647233209697,-0.143316559785017,3.08414736705913,481,1,-0.896103763841427,0.444444444444444,Peripheral,Maturation_Pericycle
AT2G25180,ARR12,3,0,3,0.0,0.0,0.00216450216450216,0.0,0.00216450216450216,0,5.21316352007977e-07,0.00471006270548572,0.00048705647233209697,-0.143316559785017,3.08414736705913,482,1,-0.837339617703007,0.0,Ultra peripheral,Maturation_Pericycle
AT5G03415,DPB,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.21693567749482e-07,0.00569523951974772,0.00048705647233209697,-0.143316559785017,3.08414736705913,483,1,-0.7785754715645871,0.0,Ultra peripheral,Maturation_Pericycle
AT5G56270,WRKY2,5,0,5,0.0,0.0,0.00360750360750361,0.0,0.00360750360750361,0,5.220713277944179e-07,0.00524120703141686,0.00048705647233209697,-0.143316559785017,3.08414736705913,484,0,-0.568780054763203,0.64,Connector,Maturation_Pericycle
AT4G13640,UNE16,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.2169356783974e-07,0.00237436066519434,0.00048705647233209697,-0.143316559785017,3.08414736705913,485,3,-1.0075431616755401,0.625,Connector,Maturation_Pericycle
AT2G03340,WRKY3,4,0,4,0.0,0.0,0.00288600288600289,0.0,0.00288600288600289,0,5.21693566756319e-07,0.004556263759460329,0.00048705647233209697,-0.143316559785017,3.08414736705913,486,1,-0.837339617703007,0.375,Peripheral,Maturation_Pericycle
AT2G37650,SCL9,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.20939681730315e-07,0.004115184217771279,0.00048705647233209697,-0.143316559785017,3.08414736705913,487,1,-0.896103763841427,0.0,Ultra peripheral,Maturation_Pericycle
AT1G10610,BHLH90,3,0,3,0.0,0.0,0.00216450216450216,0.0,0.00216450216450216,0,5.213163518011679e-07,0.00414635170645733,0.00048705647233209697,-0.143316559785017,3.08414736705913,488,1,-0.837339617703007,0.0,Ultra peripheral,Maturation_Pericycle
AT2G33480,NAC041,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,5.20939683054961e-07,0.00137204113288192,0.00048705647233209697,-0.143316559785017,3.08414736705913,489,0,-0.644864537569826,0.5,Peripheral,Maturation_Pericycle
AT4G39070,BBX20,2,0,2,0.0,0.0,0.00144300144300144,0.0,0.00144300144300144,0,1.25598307529788e-06,0.00127991841863855,0.00048705647233209697,-0.143316559785017,3.08414736705913,490,0,-0.644864537569826,0.5,Peripheral,Maturation_Pericycle
AT2G48100,AT2G48100,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.205635568165011e-07,0.000812471495619801,0.00048705647233209697,-0.143316559785017,3.08414736705913,491,3,-1.05482662997622,0.0,Ultra peripheral,Maturation_Pericycle
AT4G38170,FRS9,8,0,8,0.0,0.0,0.00577200577200577,0.0,0.00577200577200577,0,5.23207899247969e-07,0.0124770376710674,0.00048705647233209697,-0.143316559785017,3.08414736705913,492,1,-0.6610471792877479,0.375,Peripheral,Maturation_Pericycle
AT3G51470,AT3G51470,5,0,5,0.0,0.0,0.00360750360750361,0.0,0.00360750360750361,0,5.220713269006061e-07,0.00759005679387692,0.00048705647233209697,-0.143316559785017,3.08414736705913,493,1,-0.837339617703007,0.48,Peripheral,Maturation_Pericycle
