,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT2G27300,NTL8,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985285734198e-07,0.0036328027195088397,0.000340682712795526,-0.20193775556896,3.67023853785492,151,3,-0.8320066566005,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G30210,TCP24,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.0118036403154102e-07,0.000916130260530524,0.000340682712795526,-0.20193775556896,3.67023853785492,152,0,-0.3902180036137679,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT4G17750,HSFA1A,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.00999852907946e-07,0.0005303530245505821,0.000340682712795526,-0.20193775556896,3.67023853785492,153,0,-0.570788939130027,0.5,Peripheral,Proliferation Domain_Cortex
AT1G16070,TULP8,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.0838535839864e-07,0.0018925559752021102,0.000340682712795526,-0.20193775556896,3.67023853785492,154,1,-0.229746398526001,0.375,Peripheral,Proliferation Domain_Cortex
AT2G34880,JMJ15,30,29,1,0.0275862068965517,0.0396447618956357,0.0134468848050202,0.0129986553115195,0.000448229493500672,72,2.00909718796783e-07,0.0366306468225362,0.000781683341195241,-0.20193775556896,3.67023853785492,15,3,0.238859763300892,0.6244444444444439,Connector,Proliferation Domain_Cortex
AT4G30080,ARF16,5,0,5,0.0,0.0,0.00224114746750336,0.0,0.00224114746750336,0,2.01270741190919e-07,0.00341667902274405,0.000340682712795526,-0.20193775556896,3.67023853785492,60,0,-0.510598627291274,0.64,Connector,Proliferation Domain_Cortex
AT4G31550,WRKY11,5,0,5,0.0,0.0,0.00224114746750336,0.0,0.00224114746750336,0,4.36666118790536e-07,0.00395968856338214,0.000340682712795526,-0.20193775556896,3.67023853785492,30,2,-0.52190385594654,0.32,Peripheral,Proliferation Domain_Cortex
AT2G43010,PIF4,11,0,11,0.0,0.0,0.0049305244285074,0.0,0.0049305244285074,0,2.0181471415111698e-07,0.0073288320142453,0.000340682712795526,-0.20193775556896,3.67023853785492,8,3,-0.42013495663842604,0.545454545454546,Peripheral,Proliferation Domain_Cortex
AT4G00270,GEBP,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.01180364059789e-07,0.004723070306827029,0.000340682712795526,-0.20193775556896,3.67023853785492,1,3,-0.667257976615671,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT3G13040,PHL6,6,0,6,0.0,0.0,0.00268937696100403,0.0,0.00268937696100403,0,2.01361199444729e-07,0.00411942422968488,0.000340682712795526,-0.20193775556896,3.67023853785492,18,3,-0.667257976615671,0.5,Peripheral,Proliferation Domain_Cortex
AT5G05790,AT5G05790,5,0,5,0.0,0.0,0.00224114746750336,0.0,0.00224114746750336,0,2.0127074124358499e-07,0.00575482052810543,0.000340682712795526,-0.20193775556896,3.67023853785492,18,3,-0.5848836366232559,0.0,Ultra peripheral,Proliferation Domain_Cortex
